Plot,Treatment,Date ,X12.0,X13.0,X14.0,X15.0,X16.0,X17.0,X18.0,X19.0,X12.0.3OH,X13.0.ANTEISO,X13.0.ISO,X14.0.ISO,X14.1.w6c,X15.0.ANTEISO,X15.0.ISO,X15.1.w8c,X16.0.2OH,X16.0.3OH,X16.0.ISO,X16.1.w5c,X16.1.w7c,X16.1.w9c,X17.0.ANTEISO,X17.0.CYCLO,X17.0.ISO,X17.1.w7c,X17.1.w8c,X18.1.2OH,X18.1.w9c,X18.2.w6.9c,X18.3.w6.9.12c,X19.0.10.Methyl,X19.0.CYCLO
98,Control,11-Nov,3.35,0.57,4.776,0.855,17.819,0,2.21,1.924,0,0.428,0,0,0,1.711,1.924,0,0.998,0,0.713,1.354,3.778,0,0,0,0,0,0.071,0,9.052,9.408,0,0,0
1,Press,11-Nov,2.653,0,4.058,0.819,15.1,0.312,2.926,1.288,0,0.468,0,0.312,0,1.561,1.951,0,1.17,0,0.468,0.975,3.55,0,0.546,0.663,0,1.288,0,0.312,7.608,8.623,1.873,0.663,0.468
3,Press,11-Nov,2.264,0,3.249,0.799,13.236,0.266,2.929,0.959,0,0.24,0.293,0.426,0,1.864,2.13,0.879,1.012,0.266,0.639,1.172,3.728,0.373,0.559,0.719,0.4,1.545,0,0.266,7.43,7.35,2.317,0.453,0.426
5,Press,11-Nov,2.396,0,3.994,0,20.767,0,3.674,4.153,0,0,0,0,0,2.077,3.035,0,0,0,0,1.757,4.952,0,0,0,0,0,0,0,15.495,13.578,0,0,0
8,Press,11-Nov,2.551,0,3.552,0.6,15.408,0,2.601,1.601,0,0,0,0.4,0,1.551,1.751,0,0.75,0,0.6,1.601,3.552,0,0.55,0.65,0,0.5,0.55,0,11.956,12.806,1.451,0.85,0.35
10,Press,11-Nov,2.875,0,4.09,0.767,17.636,0.383,3.323,1.917,0,0,0,0,0,1.853,2.364,0,1.15,0,0.767,2.556,3.77,0,0.703,0.831,0,1.534,0,0,7.859,8.498,2.236,0,0
11,Press,11-Nov,2.347,0.383,3.449,0.814,13.916,0.359,2.371,0.958,0,0.335,0.192,0.359,0,1.485,1.701,0,1.006,0.168,0.503,1.748,3.353,0.383,0.551,0.647,0.335,1.078,0,0.431,10.419,9.772,1.485,0.216,0.383
12,Press,11-Nov,2.523,0.245,3.43,0.637,13.523,0.416,3.479,0.857,0,0.416,0,0.392,0,1.69,2.058,0.441,1.053,0,0.637,1.519,3.381,0.368,0.563,0.759,0.392,1.347,0,0.27,6.198,9.089,2.303,0.686,0.368
14,Press,11-Nov,2.721,0,4.611,1.058,17.234,0,2.797,1.89,0,0,0,0,0,2.192,2.646,0,0,0,0.756,2.872,4.157,0,0.605,0.831,0,1.587,0,0,9.977,10.204,2.268,0,0
33,Press,11-Nov,2.092,0,3.766,0,20.084,0,4.602,5.439,0,0,0,0,0,2.51,2.72,0,0,0,0,2.929,5.23,0,0,0,0,0,0,0,8.577,9.414,2.51,0,0
34,Press,11-Nov,2.444,0,3.651,0.866,15.501,0.309,2.754,0.959,0,0.248,0.278,0.402,0,1.98,2.29,0,1.083,0.309,0.712,2.32,4.27,0.433,0.65,0.835,0.309,1.33,0,0.309,8.509,8.199,2.135,0.588,0.433
36,Press,11-Nov,2.791,0,3.226,0.616,13.302,0.254,2.356,1.124,0,0.471,0,0.399,0,1.486,1.812,0,0.906,0,0.58,1.051,3.298,0,0.58,0.652,0.362,1.486,0,0.362,8.952,8.155,1.232,0.725,0.362
38,Press,11-Nov,1.972,0,3.099,0.845,14.044,0.241,2.294,1.207,0,0,0,0.443,0,1.972,2.777,0,0.966,0,0.724,1.449,4.427,0.443,0.684,0.845,0.443,1.368,0,0,11.469,11.75,1.73,0.563,0.402
40,Press,11-Nov,2.762,0,3.798,0.967,15.332,0,2.348,1.934,0,0,0,0.552,0,2.348,2.555,0.76,1.105,0,0.829,1.796,5.249,0,0.552,1.036,0,1.726,0,0,9.254,8.425,0.898,0,0
41,Press,11-Nov,2.808,0,3.202,0.739,12.217,0,2.611,1.429,0,0,0,0.394,0,1.527,1.675,0,1.034,0,0.591,1.823,3.941,0,0.64,0.69,0,1.823,0,0,10.394,9.113,2.217,0.739,0
45,Press,11-Nov,2.455,0,3.72,0.856,15.699,0.26,2.232,1.153,0,0.409,0.335,0.409,0,1.897,2.195,0,0.967,0,0.632,1.414,4.836,0.484,0.558,0.781,0.26,0.521,0.409,0.521,11.83,10.194,1.786,0.595,0.409
47,Press,11-Nov,2.348,0,4.08,1.062,16.098,0.335,2.404,1.565,0,0,0,0.559,0,2.627,3.018,0,1.23,0,0.783,2.068,5.254,0.559,0.727,1.23,0.391,1.174,0,0,6.764,7.099,1.845,0,0.559
