Plot,Treatment,AMF,Saprophytic,Gm_negative,Gm_positive,Bacteria,Fungi,Total
66,Pulse 2009,0.0017,0.0206,0.0097,0.0057,0.0154,0.0223,0.0377
68,Pulse 2009,0.0025,0.0229,0.0117,0.0062,0.0179,0.0254,0.0433
69,Pulse 2009,0.0027,0.0326,0.0111,0.0068,0.0179,0.0353,0.0532
70,Pulse 2009,0.0029,0.0423,0.0186,0.0115,0.0301,0.0452,0.0753
71,Pulse 2009,0,0.0023,0,0,0,0.0023,0.0023
72,Pulse 2009,0.002,0.0298,0.0114,0.0072,0.0186,0.0318,0.0504
73,Pulse 2009,0.0029,0.0369,0.015,0.0097,0.0247,0.0398,0.0645
74,Pulse 2009,0.0054,0.0365,0.0164,0.0091,0.0255,0.0419,0.0674
75,Pulse 2009,0.0034,0.0199,0.0081,0.0062,0.0143,0.0233,0.0376
76,Pulse 2009,0.0033,0.0273,0.0152,0.0085,0.0237,0.0306,0.0543
77,Pulse 2009,0.0031,0.0377,0.0133,0.0079,0.0212,0.0408,0.062
78,Pulse 2009,0.0027,0.0338,0.0111,0.0056,0.0167,0.0365,0.0532
79,Pulse 2009,0.0064,0.0523,0.0171,0.0094,0.0265,0.0587,0.0852
80,Pulse 2009,0.003,0.0275,0.0137,0.0079,0.0216,0.0305,0.0521
82,Control,0.0011,0.0171,0.0057,0.0032,0.0089,0.0182,0.0271
83,Pulse 2010,0.0014,0.0186,0.0089,0.0046,0.0135,0.02,0.0335
84,Control,0.0016,0.0183,0.0094,0.005,0.0144,0.0199,0.0343
85,Control,0.002,0.0276,0.0103,0.0056,0.0159,0.0296,0.0455
87,Control,0.0016,0.0225,0.0082,0.0038,0.012,0.0241,0.0361
88,Pulse 2010,0.0025,0.0178,0.0099,0.006,0.0159,0.0203,0.0362
89,Pulse 2010,0.0018,0.023,0.0095,0.005,0.0145,0.0248,0.0393
90,Control,0.0021,0.0263,0.0106,0.0057,0.0163,0.0284,0.0447
91,Pulse 2010,0.0023,0.0196,0.0105,0.0067,0.0172,0.0219,0.0391
92,Control,0.0023,0.0289,0.0147,0.0067,0.0214,0.0312,0.0526
93,Control,0.0025,0.0176,0.0095,0.0046,0.0141,0.0201,0.0342
94,Pulse 2010,0.0041,0.0211,0.013,0.0078,0.0208,0.0252,0.046
95,Pulse 2010,0.0037,0.0297,0.0137,0.0076,0.0213,0.0334,0.0547
96,Control,0.004,0.0295,0.0149,0.0077,0.0226,0.0335,0.0561
97,Pulse 2011,0.0017,0.0253,0.0096,0.0053,0.0149,0.027,0.0419
98,Control,0.0019,0.0259,0.0084,0.0051,0.0135,0.0278,0.0413
99,Pulse 2011,0.002,0.0234,0.011,0.0072,0.0182,0.0254,0.0436
67,Pulse 2009,0.0021,0.0326,0.0131,0.0069,0.02,0.0347,0.0547
81,Pulse 2010,0.0019,0.0249,0.0097,0.0054,0.0151,0.0268,0.0419
86,Pulse 2010,0.0027,0.0298,0.0156,0.0083,0.0239,0.0325,0.0564
